Pl Code Longitude  Latitude     Altitude rho_cos   rho_sin_phi  region         name
 3 513    4.7855   +45.694788    266.506 0.69971   +0.71209     France         Lyons
 3 514    8.438    +49.456279    115.728 0.6513    +0.7563      Germany        Mundenheim (1907-1913)
 3 515    7.4956   +49.814908    363.668 0.64656   +0.76038     Germany        Volkssternwarte Dhaun, near Kirn
 3 516    9.97321  +53.551081     23.720 0.595399  +0.800741    Germany        Hamburg (before 1909)
 3 517    6.1358   +46.310753    472.602 0.69201   +0.71957     Switzerland    Geneva (from 1967)
 3 518    9.9727   +53.547675     57.940 0.59545   +0.80071     Germany        Marine Observatory, Hamburg
 3 519    8.2867   +51.342097    326.624 0.62598   +0.77729     Germany        Meschede
 3 520    7.0966   +50.728847     51.951 0.63427   +0.77053     Germany        Bonn
 3 521   10.88794  +49.884549    287.665 0.645624  +0.761154    Germany        Remeis Observatory, Bamberg
 3 522    7.7677   +48.583819    168.907 0.66279   +0.74633     France         Strasbourg
 3 523    8.6512   +50.116646    156.228 0.64251   +0.76374     Germany        Frankfurt
 3 524    8.4605   +49.484894    -87.821 0.6509    +0.7566      Germany        Mannheim
 3 525    8.76917  +50.811848    277.885 0.633171  +0.771473    Germany        Marburg
 3 526   10.1477   +54.340949     75.281 0.58426   +0.80886     Germany        Kiel
 3 527    9.9431   +53.545029    196.124 0.5955    +0.8007      Germany        Altona
 3 528    9.9426   +51.529931    142.433 0.62340   +0.77931     Germany        Gottingen
 3 529   10.7229   +59.912146     20.624 0.50259   +0.86163     Norway         Christiania
 3 530   10.6898   +53.856800     31.564 0.5911    +0.8039      Germany        Lubeck
 3 531   12.4797   +41.898438     56.817 0.74545   +0.66434     Italy          Collegio Romano, Rome
 3 532   11.6084   +48.146087    514.477 0.66853   +0.74130     Germany        Munich
 3 533   11.8715   +45.400199     43.830 0.70335   +0.70847     Italy          Padua
 3 534   12.3913   +51.334935    147.349 0.62606   +0.77719     Germany        Leipzig (since 1861)
 3 535   13.3578   +38.112038     76.740 0.78782   +0.61386     Italy          Palermo
 3 536   13.1062   +52.406679    116.170 0.61135   +0.78873     Germany        Berlin-Babelsberg
 3 537   13.3642   +52.526023    128.158 0.6097    +0.7900      Germany        Urania Observatory, Berlin
 3 538   13.8461   +44.863303     41.921 0.70998   +0.70187     Croatia        Pola
 3 539   14.1316   +48.056389    380.558 0.66968   +0.74024     Austria        Kremsmunster
 3 540   14.2753   +48.442489    785.467 0.66470   +0.74477     Austria        Linz
 3 541   14.3953   +50.076637    302.652 0.64306   +0.76331     Czech Republi  Prague
 3 542   13.0374   +52.567266   -173.718 0.6091    +0.7904      Germany        Falkensee
 3 543   12.3688   +51.337979    -41.931 0.6260    +0.7772      Germany        Leipzig (before 1861)
 3 544   13.35131  +52.457381     65.288 0.610644  +0.789263    Germany        Wilhelm Foerster Observatory, Berlin
 3 545   16.3817   +48.209620    184.008 0.66767   +0.74200     Austria        Vienna (before 1879)
 3 546   16.3549   +48.215289    219.391 0.66760   +0.74207     Austria        Oppolzer Observatory, Vienna
 3 547   17.0363   +51.115578    116.616 0.62904   +0.77479     Poland         Breslau
 3 548   13.3950   +52.504462     39.093 0.60999   +0.78976     Germany        Berlin (1835-1913)
 3 549   17.6257   +59.858039     51.645 0.50341   +0.86116     Sweden         Uppsala
 3 550   11.4196   +53.627586   -240.982 0.5943    +0.8015      Germany        Schwerin
 3 551   18.1895   +47.874161     98.688 0.67201   +0.73808     Slovakia       Hurbanovo, formerly O'Gyalla
 3 552   11.3418   +44.468021    298.251 0.71485   +0.69700     Italy          Osservatorio S. Vittore, Bologna
 3 553   18.9938   +50.299749   -206.364 0.64002   +0.76574     Poland         Chorzow
 3 554    8.3959   +50.539287    192.307 0.63684   +0.76845     Germany        Burgsolms Observatory, Wetzlar
 3 555   19.8263   +50.054245    308.259 0.64336   +0.76306     Poland         Cracow-Fort Skala
 3 556   11.26     +47.589673  -6331.444 0.675     +0.734       Germany        Reintal, near Munich
 3 557   14.77961  +49.914803    580.679 0.645250  +0.761529    Czech Republi  Ondrejov
 3 558   21.0303   +52.217857    148.194 0.61396   +0.78672     Poland         Warsaw
 3 559   14.98     +37.618100   -696.944 0.793     +0.607       Italy          Serra La Nave
 3 560   10.93100  +45.407461     63.049 0.703262  +0.708561    Italy          Madonna di Dossobuono
 3 561   19.89367  +47.917455    983.456 0.671543  +0.738689    Hungary        Piszkesteto Stn. (Konkoly)
 3 562   15.9236   +48.083754    905.092 0.66938   +0.74062     Austria        Figl Observatory, Vienna
 3 563   13.60     +47.952529    135.713 0.671     +0.739       Austria        Seewalchen
 3 564   11.19     +48.029249   9614.117 0.671     +0.741       Germany        Herrsching
 3 565   10.1344   +45.317821     31.563 0.70437   +0.70746     Italy          Bassano Bresciano
 3 566  203.7424   +20.708375   3040.446 0.93623   +0.35156     US/Hawaii      Haleakala-NEAT/GEODSS
 3 567   12.7117   +45.843338     37.101 0.69783   +0.71387     Italy          Chions
 3 568  204.5278   +19.826116   4212.397 0.94171   +0.33725     US/Hawaii      Maunakea
 3 569   24.9587   +60.155276     10.883 0.49891   +0.86375     Finland        Helsinki
 3 570   25.2990   +54.682117    -55.218 0.5794    +0.8123      Lithuania      Vilnius (since 1939)
 3 571   10.63     +45.354705    822.341 0.704     +0.708       Italy          Cavriana
 3 572    6.89     +50.927521  -5853.344 0.631     +0.772       Germany        Cologne
 3 573    9.6612   +52.175130   -361.197 0.6145    +0.7862      Germany        Eldagsen
 3 574   10.2667   +45.297123     64.319 0.70463   +0.70721     Italy          Gottolengo
 3 575    6.808    +47.089416   1011.673 0.68219   +0.72894     Switzerland    La Chaux de Fonds
 3 576    0.3760   +50.994968     53.847 0.63067   +0.77346     UK/England     Burwash
 3 577    7.50     +47.462736   6589.131 0.678     +0.734       Switzerland    Metzerlen Observatory
 3 578   27.99     -26.204483   1350.698 0.898     -0.439       South Africa   Linden Observatory
 3 579    8.85     +44.786623    744.462 0.711     +0.701       Italy          Novi Ligure
 3 580   15.4936   +47.067254    516.080 0.68242   +0.72862     Austria        Graz
 3 581   22.80     -33.995489    380.530 0.830     -0.556       South Africa   Sedgefield
 3 582    1.2408   +52.009272     24.170 0.61682   +0.78447     UK/England     Orwell Park
 3 583   30.2717   +46.397290     23.284 0.69087   +0.72056     Ukraine        Odesa-Mayaky
 3 584   30.2946   +59.942394    -14.482 0.50213   +0.86189     Russia         Leningrad
 3 585   30.52462  +50.297969     24.383 0.640067  +0.765748    Ukraine        Kyiv comet station
 3 586    0.1423   +42.936555   2890.675 0.73358   +0.67799     France         Pic du Midi
 3 587    9.22918  +45.882949   1176.946 0.697459  +0.714479    Italy          Sormano
 3 588   11.25     +44.461990    981.042 0.715     +0.697       Italy          Eremo di Tizzano
 3 589   12.64369  +42.519425    392.032 0.738223  +0.672386    Italy          Santa Lucia Stroncone
 3 590    7.46     +47.462736   6589.131 0.678     +0.734       Switzerland    Metzerlen
 3 591    9.6258   +52.507327     35.619 0.60995   +0.78979     Germany        Resse Observatory
 3 592    7.02114  +51.174341    149.126 0.628245  +0.775437    Germany        Solingen
 3 593   11.17     +42.430591  -1922.141 0.739     +0.671       Italy          Monte Argentario
 3 594   13.2033   +41.957433   1827.850 0.74497   +0.66529     Italy          Monte Autore
 3 595   13.52578  +45.915733     43.360 0.696925  +0.714749    Italy          Farra d'Isonzo
 3 596   12.6183   +41.983845     91.857 0.74446   +0.66545     Italy          Colleverde di Guidonia
 3 597    9.6631   +52.170501    119.457 0.61461   +0.78621     Germany        Springe
 3 598   11.33409  +44.259208    745.434 0.717444  +0.694448    Italy          Loiano
 3 599   13.55764  +42.444136   2141.321 0.739311  +0.671604    Italy          Campo Imperatore-CINEOS
 3 600   11.4708   +44.358840    287.157 0.71618   +0.69564     Italy          TLC Observatory, Bologna
 3 601   13.7281   +51.038129    106.413 0.63009   +0.77394     Germany        Engelhardt Observatory, Dresden
 3 602   16.3854   +48.212050    199.164 0.66764   +0.74203     Austria        Urania Observatory, Vienna
 3 603   10.1300   +54.202600     74.595 0.58622   +0.80745     Germany        Bothkamp
 3 604   13.47524  +52.486761     39.219 0.610235  +0.789572    Germany        Archenhold Sternwarte, Berlin-Treptow
 3 605    7.1130   +51.674076     46.379 0.62142   +0.78086     Germany        Marl
 3 606    9.9956   +53.684186     33.692 0.59353   +0.80212     Germany        Norderstedt
 3 607    8.0000   +51.218913    769.224 0.6277    +0.7760      Germany        Hagen Observatory, Ronkhausen
 3 608  203.7420   +20.708375   3040.446 0.93623   +0.35156     US/Hawaii      Haleakala-AMOS
 3 609   12.8533   +42.570843   1280.188 0.73772   +0.67314     Italy          Osservatorio Polino
 3 610   11.3431   +44.391708    202.228 0.71577   +0.69604     Italy          Pianoro
 3 611    8.6531   +49.647790    228.075 0.64877   +0.75848     Germany        Starkenburg Sternwarte, Heppenheim
 3 612    7.10     +51.411396    -37.014 0.625     +0.778       Germany        Lenkerbeck
 3 613    7.0709   +51.409604    122.117 0.62504   +0.77800     Germany        Heisingen
 3 614    2.467    +48.635126    -13.469 0.6621    +0.7469      France         Soisy-sur-Seine
 3 615    6.9067   +44.697855   2908.587 0.71233   +0.70014     France         St. Veran
 3 616   16.58348  +49.204434    351.149 0.654655  +0.753466    Czech Republi  Brno
 3 617    2.5725   +48.416110    -22.857 0.66496   +0.74437     France         Arbonne la Foret
 3 618    5.0077   +43.419372     55.859 0.72750   +0.68382     France         Martigues
 3 619    2.09013  +41.550043    211.667 0.749506  +0.659828    Spain          Sabadell
 3 620    2.9517   +39.643980    206.540 0.77110   +0.63463     Spain          Observatorio Astronomico de Mallorca
 3 621    7.48503  +51.086390    368.243 0.629461  +0.774501    Germany        Bergisch Gladbach
 3 622    7.5680   +46.645163    439.239 0.68778   +0.72358     Switzerland    Oberwichtrach
 3 623    5.5667   +50.618355    145.152 0.63577   +0.76932     Belgium        Liege
 3 624    9.6167   +49.762986    151.377 0.64723   +0.75977     Germany        Dertingen
 3 625  203.5683   +20.746069    119.141 0.93557   +0.35201     US/Hawaii      Kihei-AMOS Remote Maui Experimental Site
 3 626    4.9864   +51.157211     70.258 0.62847   +0.77524     Belgium        Geel
 3 627    5.2146   +44.042227    236.842 0.72002   +0.69168     France         Blauvac
 3 628    6.84366  +51.427430     41.156 0.624789  +0.778184    Germany        Mulheim-Ruhr
 3 629   20.1511   +46.250362     96.979 0.69273   +0.71880     Hungary        Szeged Observatory
 3 630    7.2367   +47.992991    459.688 0.67051   +0.73951     France         Osenbach
 3 631   10.02293  +53.508969     45.858 0.595992  +0.800307    Germany        Hamburg-Georgswerder
 3 632   11.1739   +43.728395    148.489 0.72380   +0.68773     Italy          San Polo A Mosciano
 3 633    9.9339   +44.099841     42.823 0.71930   +0.69238     Italy          Romito
 3 634    5.1456   +45.527180    473.763 0.70182   +0.71007     France         Crolles
 3 635    2.9019   +42.700402     53.934 0.73605   +0.67467     France         Pergignan
 3 636    6.9794   +51.394563     70.505 0.62524   +0.77783     Germany        Essen
 3 637   10.0903   +53.703441     42.021 0.59326   +0.80232     Germany        Hamburg-Himmelsmoor
 3 638    8.8933   +51.940146    128.258 0.61778   +0.78374     Germany        Detmold
 3 639   13.7233   +51.094359    136.269 0.62933   +0.77456     Germany        Dresden
 3 640   13.5996   +50.086985     88.064 0.6429    +0.7634      Czech Republi  Senftenberger Sternwarte
 3 641   20.0272   -34.535490    133.007 0.82468   -0.56374     South Africa   Overberg
 3 642  236.6850   +48.427924    -79.848 0.6648    +0.7445      Canada/BritCo  Oak Bay, Victoria
 3 643  243.2794   +33.483600   1339.817 0.83507   +0.54868     US/California  OCA-Anza Observatory
 3 644  243.14022  +33.357340   1686.997 0.836325  +0.546877    US/California  Palomar Mountain/NEAT
 3 645  254.17942  +32.780502   2791.253 0.841945  +0.538563    US/New Mexico  Apache Point-Sloan Digital Sky Survey
 3 646  242.4369   +33.997240    434.639 0.82999   +0.55603     US/California  Santana Observatory, Rancho Cucamonga
 3 647  245.9683   +50.778455   1061.331 0.6337    +0.7712      Canada/Albert  Stone Finder Observatory, Calgary
 3 648  249.39822  +31.665606   1516.776 0.852115  +0.522053    US/Arizona     Winer Observatory, Sonoita
 3 649  265.3003   +38.646416    274.347 0.78207   +0.62117     US/Kansas      Powell Observatory, Louisburg
 3 650  242.9028   +33.467301    373.646 0.83510   +0.54836     US/California  Temecula
 3 651  249.41916  +31.670421   1501.461 0.852069  +0.522123    US/Arizona     Grasslands Observatory, Tucson
 3 652  245.9333   +51.116859    902.982 0.6291    +0.7749      Canada/Albert  Rock Finder Observatory, Calgary
 3 653  237.8678   +47.183041    226.543 0.68091   +0.72996     US/Washington  Torus Observatory, Buckley
 3 654  242.31841  +34.381822   2287.309 0.826471  +0.561727    US/California  Table Mountain Observatory, Wrightwood-PHMC
 3 655  236.383    +48.366952    -30.546 0.6656    +0.7438      Canada/BritCo  Sooke
 3 656  236.3921   +48.353425    197.379 0.66580   +0.74367     Canada/BritCo  Victoria
 3 657  236.6903   +48.461980     57.759 0.66437   +0.74491     Canada/BritCo  Climenhaga Observatory, Victoria
 3 658  236.58300  +48.519987    234.389 0.663631  +0.745601    Canada/BritCo  Dominion Astrophysical Observatory
 3 659  237.0514   +48.599732     54.040 0.66257   +0.74650     US/Washington  Heron Cove Observatory, Orcas
 3 660  237.7379   +37.873406    106.220 0.79038   +0.61059     US/California  Leuschner Observatory, Berkeley
 3 661  245.7117   +50.868272   1309.870 0.63251   +0.77222     Canada/Albert  Rothney Astrophysical Observatory, Priddis
 3 662  238.3545   +37.340108   1283.998 0.79619   +0.60335     US/California  Lick Observatory, Mount Hamilton
 3 663  248.3136   +33.496489    450.332 0.83483   +0.54879     US/Arizona     Red Mountain Observatory
 3 664  239.2775   +46.949324   1229.622 0.6840    +0.7273      US/Washington  Manastash Ridge Observatory
 3 665  240.9903   +34.810651   1629.920 0.82215   +0.56781     US/California  Wallis Observatory
 3 666  241.1692   +34.301680    298.548 0.8270    +0.5604      US/California  Moorpark College Observatory
 3 667  240.00921  +46.902678    193.321 0.684483  +0.726626    US/Washington  Wanapum Dam
 3 668  240.82     +34.857391  -3698.399 0.821     +0.568       US/California  San Emigdio Peak
 3 669  240.8238   +34.467031    485.455 0.82540   +0.56279     US/California  Ojai
 3 670  240.9558   +34.221330     15.051 0.82775   +0.55922     US/California  Camarillo
 3 671  242.00198  +34.301561   1710.130 0.827184  +0.560523    US/California  Stony Ridge
 3 672  241.9436   +34.224694   1734.505 0.82794   +0.55942     US/California  Mount Wilson
 3 673  242.31783  +34.381488   2285.092 0.826474  +0.561722    US/California  Table Mountain Observatory, Wrightwood
 3 674  242.33605  +34.382192   2261.268 0.826464  +0.561730    US/California  Ford Observatory, Wrightwood
 3 675  243.13746  +33.354120   1696.158 0.836357  +0.546831    US/California  Palomar Mountain
 3 676  242.3907   +33.418166     61.063 0.83553   +0.54762     US/California  San Clemente
 3 677  242.8281   +34.273483   1716.562 0.82746   +0.56012     US/California  Lake Arrowhead
 3 678  248.2597   +33.635876    682.249 0.83352   +0.55083     US/Arizona     Fountain Hills
 3 679  244.5367   +31.043406   2824.770 0.85792   +0.51292     Mexico         San Pedro Martir
 3 680  244.78     +33.803964   9147.690 0.833     +0.554       US/California  Los Angeles
 3 681  245.8858   +51.086072   1126.438 0.62954   +0.77459     Canada/Albert  Calgary
 3 682  247.6381   +37.046938   1648.706 0.79932   +0.59932     US/Utah        Kanab
 3 683  248.9182   +32.155481    747.379 0.84751   +0.52922     US/Arizona     Goodricke-Pigott Observatory, Tucson
 3 684  247.5100   +34.512629   1794.482 0.82512   +0.56356     US/Arizona     Prescott
 3 685  247.84     +35.352234  -4112.910 0.816     +0.575       US/Arizona     Williams
 3 686  249.2092   +32.441312   2755.255 0.84512   +0.53359     US/Arizona     U. of Minn. Infrared Obs., Mt. Lemmon
 3 687  248.3473   +35.184460   2098.971 0.81848   +0.57318     US/Arizona     Northern Arizona University, Flagstaff
 3 688  248.4645   +35.095943   2204.195 0.81938   +0.57193     US/Arizona     Lowell Observatory, Anderson Mesa Station
 3 689  248.2601   +35.183936   2292.109 0.81851   +0.57319     US/Arizona     U.S. Naval Observatory, Flagstaff
 3 690  248.3367   +35.201970   2220.750 0.81832   +0.57344     US/Arizona     Lowell Observatory, Flagstaff
 3 691  248.39966  +31.962189   2041.007 0.849466  +0.526479    US/Arizona     Steward Observatory, Kitt Peak-Spacewatch
 3 692  249.0513   +32.233024    735.163 0.84679   +0.53036     US/Arizona     Steward Observatory, Tucson
 3 693  249.26745  +32.416873   2491.132 0.845313  +0.533209    US/Arizona     Catalina Station, Tucson
 3 694  248.9943   +32.213449    950.016 0.84700   +0.53009     US/Arizona     Tumamoc Hill, Tucson
 3 695  248.40533  +31.958398   2064.325 0.849504  +0.526425    US/Arizona     Kitt Peak
 3 696  249.1154   +31.688954   2627.639 0.85205   +0.52249     US/Arizona     Whipple Observatory, Mt. Hopkins
 3 697  248.38381  +31.951411   1896.663 0.849546  +0.526308    US/Arizona     Kitt Peak, McGraw-Hill
 3 698  249.26736  +32.416926   2517.543 0.845316  +0.533212    US/Arizona     Mt. Bigelow
 3 699  248.46331  +35.095943   2204.195 0.819380  +0.571930    US/Arizona     Lowell Observatory-LONEOS
 3 700  250.3817   +36.350510   1624.518 0.80656   +0.58960     US/Arizona     Chinle
 3 701  249.79716  +31.475562   1351.518 0.853823  +0.519224    US/Arizona     Junk Bond Observatory, Sierra Vista
 3 702  252.8117   +33.984187   3381.271 0.8305    +0.5561      US/New Mexico  Joint Obs. for cometary research, Socorro
 3 703  249.26736  +32.417032   2487.202 0.845311  +0.533211    US/Arizona     Catalina Sky Survey
 3 704  253.34093  +33.818259   1528.504 0.831869  +0.553542    US/New Mexico  Lincoln Laboratory ETS, New Mexico
 3 705  254.17942  +32.780502   2791.253 0.841945  +0.538563    US/New Mexico  Apache Point
 3 706  253.9366   +38.582008   1664.614 0.78294   +0.62043     US/Colorado    Salida
 3 707  254.56     +39.465804   7847.118 0.774     +0.633       US/Colorado    Chamberlin field station
 3 708  255.0475   +39.675783   1643.012 0.77092   +0.63520     US/Colorado    Chamberlin Observatory, Denver
 3 709  254.22882  +32.955690   2478.778 0.840250  +0.541096    US/New Mexico  W & B Observatory, Cloudcroft
 3 710  254.7336   +38.880789   2602.563 0.77980   +0.62458     US/Colorado    MPO Observatory, Florissant
 3 711  255.9785   +30.671481   2102.800 0.86114   +0.50731     US/Texas       McDonald Observatory, Fort Davis
 3 712  255.11867  +39.007187   2179.112 0.778365  +0.626250    US/Colorado    USAF Academy Observatory, Colorado Springs
 3 713  254.9897   +39.879687   1656.510 0.76865   +0.63793     US/Colorado    Thornton
 3 714  246.8173   +34.574092   1223.770 0.82444   +0.56439     US/Arizona     Bagdad
 3 715  253.2759   +32.384721   1338.112 0.84546   +0.53264     US/New Mexico  Jornada Observatory, Las Cruces
 3 716  255.2489   +39.084677   2301.855 0.77753   +0.62731     US/Colorado    Palmer Divide Observatory, Colorado Springs
 3 717  256.0481   +30.610986   1538.941 0.86160   +0.50636     US/Texas       Prude Ranch
 3 718  247.7042   +40.641408   1340.167 0.76004   +0.64802     US/Utah        Tooele
 3 719  253.08608  +34.072674   1422.588 0.829384  +0.557204    US/New Mexico  Etscorn Observatory
 3 720  259.6261   +25.643182    620.469 0.90216   +0.43018     Mexico         Universidad de Monterrey
 3 721  259.7312   +40.399469    776.214 0.76271   +0.64476     US/Nebraska    Lime Creek
 3 722  264.4192   +29.604204      1.559 0.87017   +0.49110     US/Texas       Missouri City
 3 723  263.3300   +34.874996    305.031 0.82134   +0.56861     US/Oklahoma    Cottonwood Observatory, Ada
 3 724  260.8053   +19.404990   2282.825 0.94388   +0.33026     Mexico         National Observatory, Tacubaya
 3 725  261.3453   +29.766354    410.062 0.86883   +0.49358     US/Texas       Fair Oaks Ranch
 3 726  265.6933   +46.448790    210.614 0.69024   +0.72120     US/Minnesota   Brainerd
 3 727  262.53872  +35.612756    357.610 0.813941  +0.579096    US/Oklahoma    Zeno Observatory, Edmond
 3 728  262.6084   +27.691909     -0.235 0.88610   +0.46194     US/Texas       Corpus Christi
 3 729  262.87858  +49.645227    227.534 0.648804  +0.758451    Saskatchewan   Glenlea Astronomical Observatory, Winnipeg
 3 730  262.84143  +47.911570    268.237 0.671544  +0.738537    US/North Dako  University of North Dakota, Grand Forks
 3 731  272.6711   +39.481134    160.731 0.77290   +0.63244     US/Indiana     Rose-Hulman Observatory, Terre Haute
 3 732  263.2300   +17.181651   1721.159 0.95591   +0.29359     Mexico         Oaxaca
 3 733  263.3546   +33.159311    209.096 0.83802   +0.54387     US/Texas       Allen, Texas
 3 734  263.99758  +38.890242    376.418 0.779425  +0.624489    US/Kansas      Farpoint Observatory, Eskridge
 3 735  264.40640  +29.375000     17.448 0.872133  +0.487634    US/Texas       George Observatory, Needville
 3 736  263.3357   +29.618337     84.929 0.87006   +0.49132     US/Texas       Houston
 3 737  275.6633   +34.177302    166.237 0.8282    +0.5586      US/Georgia     New Bullpen Observatory, Alpharetta
 3 738  267.6733   +38.944581    123.634 0.7788    +0.6252      US/Missouri    Observatory of the State University of Missouri
 3 739  265.2440   +38.868756    296.548 0.77965   +0.62419     US/Kansas      Sunflower Observatory, Olathe
 3 740  265.3383   +31.757304    190.178 0.8511    +0.5233      US/Texas       SFA Observatory, Nacogdoches
 3 741  266.8503   +44.461527    304.991 0.71493   +0.69692     US/Minnesota   Goodsell Observatory, Northfield
 3 742  266.31216  +41.595519    284.173 0.748989  +0.660428    US/Iowa        Drake University, Des Moines
 3 743  267.76148  +44.982902    371.355 0.708545  +0.703382    US/Wisconsin   University of Minnesota, Minneapolis
 3 744  273.8378   +39.847122    215.578 0.76884   +0.63735     US/Indiana     Doyan Rose Observatory, Indianapolis
 3 745  267.1747   +39.229358    249.776 0.77569   +0.62906     US/Missouri    Morrison Obervatory, Glasgow
 3 746  275.2254   +43.587536    289.579 0.72551   +0.68597     US/Michigan    Brooks Observatory, Mt. Pleasant
 3 747  268.9292   +30.346067     15.608 0.86373   +0.50227     US/Louisiana   Highland Road Park Observatory
 3 748  268.4680   +41.495468    245.634 0.75014   +0.65912     US/Iowa        Van Allen Observatory, Iowa City
 3 749  276.1642   +34.205355    352.676 0.82795   +0.55902     US/Georgia     Oakwood
 3 750  268.7282   +44.815827    282.197 0.71059   +0.70131     US/Wisconsin   Hobbs Observatory, Fall Creek
 3 751  269.2439   +38.799941    123.860 0.78038   +0.62324     US/Missouri    Lake Saint Louis
 3 752  275.4647   +34.732390    492.890 0.82278   +0.56659     US/Georgia     Puckett Observatory, Mountain Town
 3 753  270.59069  +43.076214    288.139 0.731622  +0.679491    US/Wisconsin   Washburn Observatory, Madison
 3 754  271.4432   +42.570076    335.846 0.73762   +0.67303     US/Wisconsin   Yerkes Observatory, Williams Bay
 3 755  274.6478   +42.914973    224.614 0.73353   +0.67743     US/Michigan    Optec Observatory
 3 756  272.32567  +42.057533    126.506 0.743605  +0.666407    US/Illinois    Dearborn Observatory, Evanston (bef. July 1939)
 3 757  280.0050   +36.038626    323.042 0.8096    +0.5851      US/North Caro  High Point
 3 758  279.2379   +28.385032      6.696 0.88044   +0.47257     US/Florida     BCC Observatory, Cocoa
 3 759  273.1947   +36.052656    351.675 0.80946   +0.58530     US/Tennessee   Nashville
 3 760  273.6048   +39.549397    293.825 0.77216   +0.63337     US/Indiana     Goethe Link Observatory, Brooklyn
 3 761  277.6456   +28.271214     17.950 0.88138   +0.47083     US/Florida     Zephyrhills
 3 762  274.2008   +44.956645    206.023 0.70885   +0.70304     US/Michigan    Four Winds Observatory, Lake Leelanau
 3 763  280.4658   +43.914771    308.935 0.72157   +0.69009     Canada/Ontari  King City
 3 764  275.1439   +33.722310    326.617 0.83264   +0.55205     US/Georgia     Puckett Observatory, Stone Mountain
 3 765  275.5775   +39.138735    277.252 0.77669   +0.62784     US/Ohio        Cincinnati
 3 766  275.5167   +42.706569    252.146 0.73600   +0.67477     US/Michigan    Michigan State University Obs., East Lansing
 3 767  276.2697   +42.280295    293.633 0.74102   +0.66930     US/Michigan    Ann Arbor
 3 768  272.32488  +42.059283    130.066 0.743585  +0.666430    US/Illinois    Dearborn Observatory, Evanston (aft. Oct. 1939)
 3 769  276.9892   +39.997598    225.137 0.76716   +0.63936     US/Ohio        McMillin Observatory, Columbus
 3 770  274.0786   +39.225235    205.395 0.77573   +0.62900     US/Indiana     Crescent Moon Observatory, Columbus
 3 771  277.57     +23.013306   7724.352 0.922     +0.389       Cuba           Boyeros Observatory, Havana
 3 772  284.0865   +45.254105    131.522 0.70517   +0.70669     Canada/Ontari  Boltwood Observatory, Stittsville
 3 773  278.4318   +41.536957    236.198 0.74966   +0.65966     US/Ohio        Warner and Swasey Observatory, Cleveland
 3 774  278.9250   +41.591562    414.251 0.74905   +0.66039     US/Ohio        Warner and Swasey Nassau Station, Chardon
 3 775  284.6168   +40.606343    100.299 0.76029   +0.64743     US/Pennsylvan  Sayre Observatory, South Bethlehem
 3 776  284.4669   +42.816318    407.428 0.73472   +0.67619     US/New York    Foggy Bottom, Hamilton
 3 777  280.6017   +43.666676    123.956 0.72454   +0.68695     Canada/Ontari  Toronto
 3 778  279.9778   +40.482685    356.041 0.76172   +0.64582     US/Pennsylvan  Allegheny Observatory, Pittsburgh
 3 779  280.5779   +43.862795    240.522 0.72219   +0.68943     Canada/Ontari  David Dunlap Observatory, Richmond Hill
 3 780  281.4778   +38.033616    225.691 0.78868   +0.61280     US/Virginia    Leander McCormick Observatory, Charlottesville
 3 781  281.5075    -0.233505   2922.799 1.00045   -0.00405     Ecuador        Quito
 3 782  281.65      +0.000000  -6378.137 0.999     +0.000       Ecuador        Quito, comet astrograph station
 3 783  282.02     +38.650286   8213.159 0.783     +0.622       US/Virginia    Rixeyville
 3 784  282.2146   +42.250749    585.848 0.74140   +0.66895     US/New York    Stull Observatory, Alfred University
 3 785  285.3542   +40.345554     39.128 0.76323   +0.64397     US/New Jersey  Fitz-Randolph Observatory, Princeton
 3 786  282.9345   +38.920446     90.959 0.77906   +0.62487     US/Dist. of C  U.S. Naval Obs., Washington (since 1893)
 3 787  282.9494   +38.894247     38.550 0.77934   +0.62451     US/Dist. of C  U.S. Naval Obs., Washington (before 1893)
 3 788  284.3667   +39.784239    124.516 0.76953   +0.63650     US/Delaware    Mount Cuba Observatory, Wilmington
 3 789  284.5940   +43.054734    310.081 0.73188   +0.67922     US/New York    Litchfield Observatory, Clinton
 3 790  284.2835   +45.394109     84.240 0.70343   +0.70840     Canada/Ontari  Dominion Observatory, Ottawa
 3 791  284.5236   +39.999146    119.552 0.76713   +0.63937     US/Pennsylvan  Flower and Cook Observatory, Philadelphia
 3 792  288.29905  +41.353320    -24.079 0.751746  +0.657236    US/Rhode Isla  University of Rhode Island, Quonochontaug
 3 793  286.2515   +42.663049    131.645 0.7365    +0.6742      US/New York    Dudley Observatory, Albany (before 1893)
 3 794  286.1100   +41.688179     55.257 0.74789   +0.66161     US/New York    Vassar College Observatory, Poughkeepsie
 3 795  286.03861  +40.809795     10.268 0.757969  +0.650106    US/New York    Rutherford
 3 796  286.45     +41.090425   1985.622 0.755     +0.654       US/Connecticu  Stamford
 3 797  287.0751   +41.316332     49.247 0.75218   +0.65676     US/Connecticu  Yale Observatory, New Haven
 3 798  287.0154   +41.426698    220.953 0.75093   +0.65822     US/Connecticu  Yale Observatory, Bethany
 3 799  288.8650   +42.453331     41.707 0.73896   +0.67150     US/Massachuse  Winchester
 3 800  288.4511   -16.374554   2429.040 0.96006   -0.28021     Peru           Harvard Observatory, Arequipa
 3 801  288.44233  +42.505363    180.012 0.738364  +0.672183    US/Massachuse  Oak Ridge Observatory
 3 802  288.87164  +42.381468     22.543 0.739802  +0.670574    US/Massachuse  Harvard Observatory, Cambridge
